timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1742381622066,584,01_OpenURL,200,,Scenario 1 - Search - jp@gc - Ultimate Thread Group 1-61,text,true,,4990,578,6,8,https://petstore.octoperf.com/actions/Catalog.action,584,0,439
1742381622066,584,01_OpenURL,200,"Number of samples in transaction : 1, number of failing samples : 0",Scenario 1 - Search - jp@gc - Ultimate Thread Group 1-61,,true,,4990,578,6,8,null,584,1,439
1742381622519,145,02_Search,200,,Scenario 1 - Search - jp@gc - Ultimate Thread Group 1-59,text,true,,3441,923,6,8,https://petstore.octoperf.com/actions/Catalog.action,145,0,0
1742381622481,145,02_Search,200,"Number of samples in transaction : 1, number of failing samples : 0",Scenario 1 - Search - jp@gc - Ultimate Thread Group 1-59,,true,,3441,923,6,8,null,145,38,0
1742381622117,581,01_OpenURL,200,,Scenario 1 - Search - jp@gc - Ultimate Thread Group 1-57,text,true,,5664,525,6,9,https://petstore.octoperf.com/actions/Catalog.action,581,0,437
1742381622116,581,01_OpenURL,200,"Number of samples in transaction : 1, number of failing samples : 0",Scenario 1 - Search - jp@gc - Ultimate Thread Group 1-57,,true,,5664,525,6,9,null,581,2,437
1742381622689,145,02_Search,200,,Scenario 1 - Search - jp@gc - Ultimate Thread Group 1-61,text,true,,3441,923,6,9,https://petstore.octoperf.com/actions/Catalog.action,145,0,0
1742381622651,145,02_Search,200,"Number of samples in transaction : 1, number of failing samples : 0",Scenario 1 - Search - jp@gc - Ultimate Thread Group 1-61,,true,,3441,923,6,9,null,145,38,0
1742381622264,579,01_OpenURL,200,,Scenario 1 - Search - jp@gc - Ultimate Thread Group 1-60,text,true,,4987,578,6,9,https://petstore.octoperf.com/actions/Catalog.action,579,0,435
1742381622263,579,01_OpenURL,200,"Number of samples in transaction : 1, number of failing samples : 0",Scenario 1 - Search - jp@gc - Ultimate Thread Group 1-60,,true,,4987,578,6,9,null,579,1,435
1742381622767,145,02_Search,200,,Scenario 1 - Search - jp@gc - Ultimate Thread Group 1-57,text,true,,3445,927,6,9,https://petstore.octoperf.com/actions/Catalog.action,145,0,0
1742381622699,145,02_Search,200,"Number of samples in transaction : 1, number of failing samples : 0",Scenario 1 - Search - jp@gc - Ultimate Thread Group 1-57,,true,,3445,927,6,9,null,145,68,0
1742381622415,587,01_OpenURL,200,,Scenario 1 - Search - jp@gc - Ultimate Thread Group 1-58,text,true,,4986,578,6,9,https://petstore.octoperf.com/actions/Catalog.action,587,0,441
1742381622415,587,01_OpenURL,200,"Number of samples in transaction : 1, number of failing samples : 0",Scenario 1 - Search - jp@gc - Ultimate Thread Group 1-58,,true,,4986,578,6,9,null,587,0,441
1742381622916,144,02_Search,200,,Scenario 1 - Search - jp@gc - Ultimate Thread Group 1-60,text,true,,3442,924,6,9,https://petstore.octoperf.com/actions/Catalog.action,144,0,0
1742381622843,144,02_Search,200,"Number of samples in transaction : 1, number of failing samples : 0",Scenario 1 - Search - jp@gc - Ultimate Thread Group 1-60,,true,,3442,924,6,9,null,144,73,0
1742381622608,582,01_OpenURL,200,,Scenario 1 - Search - jp@gc - Ultimate Thread Group 1-56,text,true,,5664,525,7,10,https://petstore.octoperf.com/actions/Catalog.action,582,0,437
1742381622607,582,01_OpenURL,200,"Number of samples in transaction : 1, number of failing samples : 0",Scenario 1 - Search - jp@gc - Ultimate Thread Group 1-56,,true,,5664,525,7,10,null,582,2,437
1742381623050,147,02_Search,200,,Scenario 1 - Search - jp@gc - Ultimate Thread Group 1-58,text,true,,4081,923,7,10,https://petstore.octoperf.com/actions/Catalog.action,147,0,0
